Date,Question,Outcome,Side,Price,Size (USDC)
"2026-01-02T18:23:57.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","51.0¢","$32.00"
"2026-01-02T18:23:57.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","51.0¢","$32.00"
"2026-01-02T18:23:45.000Z","O/U 59.5","Under","BUY","78.0¢","$8.41"
"2026-01-02T18:22:43.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","78.0¢","$90.91"
"2026-01-02T18:22:07.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","50.0¢","$12.52"
"2026-01-02T18:22:01.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","50.0¢","$12.50"
"2026-01-02T18:21:53.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","50.0¢","$7.58"
"2026-01-02T18:21:43.000Z","New Mexico State Aggies vs. Florida International Golden Panthers","Florida International Golden Panthers","BUY","95.0¢","$1.28"
"2026-01-02T18:21:39.000Z","New Mexico State Aggies vs. Florida International Golden Panthers","Florida International Golden Panthers","BUY","95.0¢","$15.00"
"2026-01-02T18:21:21.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","21.0¢","$87.52"
"2026-01-02T18:21:13.000Z","Al Ahli Saudi Club vs. Al Nassr Saudi Club: O/U 4.5","Under","BUY","9.0¢","$1.15"
"2026-01-02T18:20:41.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","21.0¢","$979.85"
