Date,Question,Outcome,Side,Price,Size (USDC)
"2026-01-02T19:00:27.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","Yes","BUY","14.0¢","$30.22"
"2026-01-02T19:00:13.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","Yes","BUY","13.0¢","$1.91"
"2026-01-02T19:00:13.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","Yes","BUY","13.0¢","$3.82"
"2026-01-02T19:00:11.000Z","Rice vs. Texas State: O/U 56.5","Over","BUY","2.0¢","$22.93"
"2026-01-02T19:00:11.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","Yes","BUY","13.0¢","$94.55"
"2026-01-02T19:00:09.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","84.0¢","$31.25"
"2026-01-02T19:00:05.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","84.0¢","$6.25"
"2026-01-02T19:00:01.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","84.0¢","$100.00"
"2026-01-02T18:59:29.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","46.0¢","$4.67"
"2026-01-02T18:59:05.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","46.0¢","$74.22"
"2026-01-02T18:58:51.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","82.0¢","$27.78"
"2026-01-02T18:58:31.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","46.0¢","$1.85"
"2026-01-02T18:57:13.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","46.0¢","$20.37"
"2026-01-02T18:56:29.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","53.0¢","$680.55"
"2026-01-02T18:56:27.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","81.0¢","$188.58"
"2026-01-02T18:56:01.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","46.0¢","$2.85"
"2026-01-02T18:55:55.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","28.0¢","$5.00"
"2026-01-02T18:55:55.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","28.0¢","$1.53"
"2026-01-02T18:55:53.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","28.0¢","$5.00"
"2026-01-02T18:55:51.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","Yes","BUY","50.0¢","$80.00"
"2026-01-02T18:55:47.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","No","BUY","69.0¢","$5.00"
"2026-01-02T18:55:45.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","No","BUY","69.0¢","$9.68"
"2026-01-02T18:55:43.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","No","BUY","69.0¢","$5.00"
"2026-01-02T18:55:43.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","28.0¢","$1.53"
"2026-01-02T18:55:43.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","No","BUY","69.0¢","$3.55"
"2026-01-02T18:55:39.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","28.0¢","$5.00"
"2026-01-02T18:55:39.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","No","BUY","79.0¢","$4.76"
